epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.01639,1.3738,0.99812,0.95423,0.50355,0.37216,0.38618,0.22953,1.21646,0.84376,0.92471,6.426e-05,6.426e-05,6.426e-05
2,133.026,1.37242,0.97078,0.93858,0.47805,0.37798,0.3756,0.22421,1.20113,0.86938,0.92404,0.000108799,0.000108799,0.000108799
3,139.091,1.30663,0.93723,0.9466,0.48674,0.36652,0.37119,0.21898,1.23422,0.88879,0.92827,0.000125064,0.000125064,0.000125064
4,144.968,1.26666,0.89162,0.94164,0.50098,0.37908,0.38197,0.22834,1.19049,0.86683,0.92296,0.000113055,0.000113055,0.000113055
5,150.842,1.3288,0.92476,0.94105,0.48692,0.38095,0.38156,0.22627,1.19989,0.86649,0.92383,7.27709e-05,7.27709e-05,7.27709e-05
