epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.42658,1.45788,1.02107,0.95139,0.49121,0.37639,0.38009,0.2259,1.19369,0.84944,0.92203,6.426e-05,6.426e-05,6.426e-05
2,135.068,1.31362,0.91436,0.92302,0.47883,0.36529,0.36715,0.22075,1.19195,0.87412,0.92134,0.000108799,0.000108799,0.000108799
3,141.004,1.30684,0.89184,0.95148,0.47523,0.37664,0.3736,0.22319,1.19542,0.86912,0.92385,0.000125064,0.000125064,0.000125064
4,146.851,1.27322,0.88217,0.93781,0.47822,0.37145,0.37702,0.22476,1.19098,0.85932,0.92404,0.000113055,0.000113055,0.000113055
5,152.772,1.27725,0.87263,0.93678,0.46947,0.36583,0.36798,0.21857,1.20552,0.8767,0.92498,7.27709e-05,7.27709e-05,7.27709e-05
