epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.45018,1.13005,0.80084,0.90026,0.50825,0.3773,0.38984,0.23262,1.18567,0.84225,0.92008,1.428e-05,1.428e-05,1.428e-05
2,129.693,1.12501,0.75903,0.89999,0.50382,0.37909,0.39038,0.23308,1.18848,0.84607,0.92156,2.86314e-05,2.86314e-05,2.86314e-05
3,134.151,1.19939,0.77635,0.93043,0.50913,0.37634,0.38915,0.23245,1.18852,0.84712,0.92144,3.45005e-05,3.45005e-05,3.45005e-05
4,138.51,1.25783,0.81029,0.92949,0.50538,0.37541,0.38715,0.23093,1.19346,0.84912,0.92232,3.18872e-05,3.18872e-05,3.18872e-05
5,142.821,1.2655,0.82966,0.92658,0.50348,0.3722,0.38572,0.22991,1.19839,0.85013,0.92277,2.07917e-05,2.07917e-05,2.07917e-05
