epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.03893,1.34268,1.01288,0.93319,0.5111,0.37342,0.38668,0.23264,1.18878,0.83812,0.9204,6.426e-05,6.426e-05,6.426e-05
2,132.747,1.30998,0.95923,0.91969,0.47853,0.37785,0.37864,0.22516,1.20417,0.86963,0.92303,0.000108799,0.000108799,0.000108799
3,138.562,1.27165,0.89938,0.92938,0.49542,0.38009,0.38295,0.22914,1.19062,0.85953,0.9212,0.000125064,0.000125064,0.000125064
4,144.287,1.23527,0.87208,0.92755,0.48176,0.38096,0.37837,0.22643,1.19526,0.8646,0.92534,0.000113055,0.000113055,0.000113055
5,150.212,1.20762,0.86362,0.92338,0.47614,0.37876,0.37478,0.22223,1.2062,0.86993,0.9271,7.27709e-05,7.27709e-05,7.27709e-05
