epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.89278,1.36744,0.93533,0.94444,0.5084,0.37362,0.38578,0.23,1.19885,0.85979,0.92539,6.426e-05,6.426e-05,6.426e-05
2,132.618,1.35528,0.94657,0.93155,0.50024,0.36833,0.376,0.22448,1.20309,0.85812,0.92441,0.000108799,0.000108799,0.000108799
3,138.432,1.25203,0.84787,0.94078,0.49357,0.36799,0.37686,0.22379,1.20522,0.87088,0.92876,0.000125064,0.000125064,0.000125064
4,144.323,1.27822,0.90296,0.9446,0.50041,0.35976,0.37768,0.22381,1.20723,0.85836,0.92834,0.000113055,0.000113055,0.000113055
5,150.222,1.31302,0.87422,0.93055,0.50108,0.36564,0.38181,0.22705,1.19816,0.84754,0.92393,7.27709e-05,7.27709e-05,7.27709e-05
