epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.04015,1.32734,1.00156,0.94425,0.515,0.391,0.40064,0.24101,1.17148,0.82023,0.91577,1.428e-05,1.428e-05,1.428e-05
2,50.4758,1.39523,1.13666,0.97404,0.52052,0.38926,0.39917,0.23953,1.17771,0.82444,0.91728,2.86314e-05,2.86314e-05,2.86314e-05
3,55.2344,1.32229,0.95065,0.96848,0.51341,0.38529,0.39627,0.23672,1.18569,0.82659,0.91982,3.45005e-05,3.45005e-05,3.45005e-05
4,60.1836,1.33807,0.9387,0.94852,0.51371,0.38608,0.3959,0.23552,1.19399,0.82842,0.92108,3.18872e-05,3.18872e-05,3.18872e-05
5,64.9373,1.33856,0.93068,0.94503,0.52147,0.38344,0.39561,0.23557,1.19652,0.8311,0.9215,2.07917e-05,2.07917e-05,2.07917e-05
