epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.46911,1.25916,0.92705,0.9582,0.50699,0.38583,0.39407,0.23477,1.19855,0.83804,0.92686,6.426e-05,6.426e-05,6.426e-05
2,133.492,1.27755,0.92409,0.94447,0.49917,0.37045,0.38071,0.22529,1.21189,0.86672,0.9309,0.000108799,0.000108799,0.000108799
3,139.566,1.27688,0.90504,0.96301,0.50382,0.36763,0.38026,0.22466,1.20873,0.85996,0.9268,0.000125064,0.000125064,0.000125064
4,145.742,1.22765,0.88474,0.94653,0.49147,0.36702,0.37537,0.22435,1.194,0.85672,0.92344,0.000113055,0.000113055,0.000113055
5,151.847,1.25421,0.87563,0.92984,0.49274,0.36805,0.37702,0.22449,1.20458,0.84765,0.92517,7.27709e-05,7.27709e-05,7.27709e-05
