epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.37894,1.38461,1.06067,0.9524,0.46957,0.3776,0.36803,0.21623,1.23573,0.86579,0.93054,6.426e-05,6.426e-05,6.426e-05
2,134.672,1.29524,0.93814,0.94027,0.47269,0.37244,0.36766,0.21958,1.19316,0.87844,0.91835,0.000108799,0.000108799,0.000108799
3,140.954,1.2896,0.90887,0.9575,0.49458,0.36623,0.37412,0.22285,1.2074,0.86026,0.92504,0.000125064,0.000125064,0.000125064
4,147.187,1.29237,0.88539,0.94433,0.49028,0.37377,0.37645,0.22317,1.21033,0.85543,0.92723,0.000113055,0.000113055,0.000113055
5,153.332,1.28152,0.8424,0.94947,0.48136,0.37067,0.37254,0.22012,1.21319,0.85825,0.925,7.27709e-05,7.27709e-05,7.27709e-05
