epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.6271,1.36095,0.96708,0.95522,0.50193,0.37998,0.38555,0.22979,1.19317,0.8514,0.9199,6.426e-05,6.426e-05,6.426e-05
2,136.511,1.32441,0.95335,0.93311,0.4795,0.36715,0.37287,0.21825,1.22908,0.85642,0.92901,0.000108799,0.000108799,0.000108799
3,142.325,1.28698,0.87564,0.94603,0.49524,0.36845,0.37469,0.22278,1.20762,0.85535,0.92528,0.000125064,0.000125064,0.000125064
4,148.153,1.29158,0.86364,0.95464,0.48106,0.37773,0.37885,0.22225,1.22123,0.86096,0.92884,0.000113055,0.000113055,0.000113055
5,153.914,1.25136,0.86876,0.94189,0.48465,0.381,0.38099,0.22518,1.20503,0.85581,0.92504,7.27709e-05,7.27709e-05,7.27709e-05
