epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.59393,1.36181,0.96444,0.95399,0.51206,0.3815,0.39297,0.23407,1.18885,0.83972,0.92354,6.426e-05,6.426e-05,6.426e-05
2,133.797,1.31725,0.89008,0.94805,0.49852,0.37003,0.3807,0.22498,1.21662,0.84085,0.92635,0.000108799,0.000108799,0.000108799
3,139.92,1.24977,0.87675,0.96033,0.4971,0.3689,0.37752,0.22333,1.2238,0.85398,0.92797,0.000125064,0.000125064,0.000125064
4,146.023,1.27709,0.86069,0.94512,0.49735,0.36149,0.37247,0.21832,1.22724,0.86001,0.92602,0.000113055,0.000113055,0.000113055
5,152.088,1.20766,0.81237,0.94514,0.49314,0.37249,0.3787,0.22408,1.2091,0.86231,0.9239,7.27709e-05,7.27709e-05,7.27709e-05
