epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4974,1.1758,0.82821,0.90908,0.51136,0.3816,0.3957,0.23588,1.18965,0.83233,0.92006,1.428e-05,1.428e-05,1.428e-05
2,138.936,1.16631,0.79991,0.91008,0.50937,0.37949,0.39308,0.23466,1.19413,0.83584,0.92108,2.86314e-05,2.86314e-05,2.86314e-05
3,143.345,1.20999,0.80208,0.9317,0.51638,0.37618,0.39172,0.23371,1.19659,0.84236,0.92219,3.45005e-05,3.45005e-05,3.45005e-05
4,147.664,1.27261,0.83062,0.93193,0.51021,0.37709,0.39018,0.23258,1.20036,0.84698,0.92336,3.18872e-05,3.18872e-05,3.18872e-05
5,152.015,1.28494,0.84421,0.93256,0.51403,0.37399,0.38899,0.23217,1.20354,0.84825,0.92382,2.07917e-05,2.07917e-05,2.07917e-05
