epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.74797,1.29035,0.96832,0.93854,0.49345,0.37792,0.38149,0.22889,1.18738,0.85127,0.9219,1.428e-05,1.428e-05,1.428e-05
2,130.128,1.36991,1.06267,0.96415,0.49043,0.38997,0.3881,0.23268,1.1864,0.84435,0.92073,2.86314e-05,2.86314e-05,2.86314e-05
3,134.937,1.29589,0.90419,0.95775,0.50658,0.38384,0.39106,0.23415,1.18524,0.84457,0.92062,3.45005e-05,3.45005e-05,3.45005e-05
4,139.735,1.32048,0.89843,0.94304,0.51156,0.38057,0.39002,0.23285,1.19218,0.84841,0.92257,3.18872e-05,3.18872e-05,3.18872e-05
5,144.396,1.31942,0.90726,0.94206,0.51147,0.37652,0.38892,0.2317,1.19691,0.84848,0.92346,2.07917e-05,2.07917e-05,2.07917e-05
