epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.0966,1.3246,0.98831,0.95902,0.50999,0.36588,0.38199,0.22537,1.2139,0.851,0.92307,6.426e-05,6.426e-05,6.426e-05
2,135.336,1.29238,0.92828,0.94539,0.49811,0.37009,0.37875,0.22578,1.20258,0.85435,0.92391,0.000108799,0.000108799,0.000108799
3,141.697,1.29223,0.88607,0.93816,0.49217,0.36812,0.37488,0.22191,1.20388,0.86214,0.92445,0.000125064,0.000125064,0.000125064
4,147.54,1.21647,0.85453,0.93544,0.47366,0.37147,0.36938,0.2193,1.2001,0.8683,0.92247,0.000113055,0.000113055,0.000113055
5,153.435,1.25851,0.87577,0.94002,0.48448,0.3631,0.37021,0.21924,1.20911,0.86843,0.92453,7.27709e-05,7.27709e-05,7.27709e-05
