epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.87496,1.22338,0.8939,0.92138,0.50751,0.37991,0.39226,0.23314,1.18459,0.84117,0.9202,1.428e-05,1.428e-05,1.428e-05
2,131.1,1.26735,0.94014,0.93524,0.50605,0.38225,0.39478,0.23481,1.19051,0.83315,0.92086,2.86314e-05,2.86314e-05,2.86314e-05
3,135.516,1.25076,0.85565,0.94261,0.50443,0.38409,0.39397,0.23512,1.19526,0.83059,0.92169,3.45005e-05,3.45005e-05,3.45005e-05
4,139.926,1.2815,0.85756,0.93304,0.51265,0.38089,0.39238,0.2344,1.19843,0.83411,0.9227,3.18872e-05,3.18872e-05,3.18872e-05
5,144.189,1.28392,0.86394,0.93271,0.51578,0.37828,0.39049,0.23335,1.20093,0.83733,0.92348,2.07917e-05,2.07917e-05,2.07917e-05
