epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.55059,1.1443,0.80695,0.9015,0.50111,0.38106,0.38987,0.23273,1.18478,0.84219,0.92037,1.428e-05,1.428e-05,1.428e-05
2,129.64,1.12452,0.76116,0.89988,0.49997,0.3795,0.38883,0.23158,1.19375,0.8495,0.92294,2.86314e-05,2.86314e-05,2.86314e-05
3,134.055,1.203,0.78012,0.93137,0.50979,0.37432,0.38875,0.23127,1.19618,0.84861,0.92275,3.45005e-05,3.45005e-05,3.45005e-05
4,138.343,1.25617,0.81259,0.92965,0.51134,0.37292,0.38689,0.23056,1.19935,0.84891,0.92315,3.18872e-05,3.18872e-05,3.18872e-05
5,142.686,1.26108,0.83071,0.92635,0.50966,0.37259,0.38548,0.22979,1.20107,0.85037,0.92314,2.07917e-05,2.07917e-05,2.07917e-05
