epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.84246,1.21169,0.8868,0.92016,0.5115,0.38519,0.39601,0.23606,1.19229,0.83359,0.92377,1.428e-05,1.428e-05,1.428e-05
2,132.191,1.25565,0.90386,0.93463,0.50837,0.3851,0.39533,0.23584,1.19429,0.83047,0.92251,2.86314e-05,2.86314e-05,2.86314e-05
3,136.671,1.25663,0.84185,0.94719,0.5041,0.3803,0.39107,0.23261,1.20346,0.83419,0.92305,3.45005e-05,3.45005e-05,3.45005e-05
4,141.097,1.28681,0.85464,0.9345,0.51504,0.37793,0.39248,0.23353,1.20363,0.83646,0.92326,3.18872e-05,3.18872e-05,3.18872e-05
5,145.444,1.29066,0.86824,0.93403,0.51638,0.38047,0.39279,0.23408,1.20283,0.83742,0.92344,2.07917e-05,2.07917e-05,2.07917e-05
