epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.65967,1.16461,0.81748,0.90572,0.50016,0.38313,0.39011,0.23241,1.18964,0.83659,0.92148,1.428e-05,1.428e-05,1.428e-05
2,129.821,1.15339,0.78247,0.90684,0.50659,0.37975,0.38985,0.23157,1.19075,0.83913,0.92207,2.86314e-05,2.86314e-05,2.86314e-05
3,134.267,1.2045,0.78556,0.93078,0.50882,0.37925,0.38968,0.23184,1.18931,0.84112,0.9213,3.45005e-05,3.45005e-05,3.45005e-05
4,138.674,1.26345,0.82422,0.93004,0.50469,0.37721,0.38852,0.23175,1.19308,0.84507,0.9223,3.18872e-05,3.18872e-05,3.18872e-05
5,142.989,1.26672,0.83806,0.92594,0.50579,0.37393,0.38703,0.23103,1.19676,0.84691,0.92251,2.07917e-05,2.07917e-05,2.07917e-05
