epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.1778,1.35682,0.95148,0.94458,0.5059,0.37697,0.38527,0.22852,1.19308,0.84417,0.92306,6.426e-05,6.426e-05,6.426e-05
2,132.876,1.33354,0.94163,0.92104,0.47927,0.37712,0.37401,0.22015,1.21824,0.86509,0.92705,0.000108799,0.000108799,0.000108799
3,138.733,1.33736,0.92093,0.95358,0.49603,0.37646,0.37888,0.22438,1.19069,0.85466,0.92189,0.000125064,0.000125064,0.000125064
4,144.562,1.30266,0.90427,0.9466,0.48286,0.37596,0.37206,0.21913,1.20382,0.85958,0.92273,0.000113055,0.000113055,0.000113055
5,150.381,1.31961,0.8618,0.93638,0.48555,0.37511,0.3774,0.22316,1.20133,0.85712,0.92359,7.27709e-05,7.27709e-05,7.27709e-05
