epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.02025,1.29033,0.94502,0.95649,0.50525,0.37465,0.38431,0.22855,1.19545,0.84892,0.92268,6.426e-05,6.426e-05,6.426e-05
2,132.755,1.26884,0.89531,0.92861,0.50733,0.37499,0.38351,0.22857,1.20063,0.85812,0.92537,0.000108799,0.000108799,0.000108799
3,138.562,1.2267,0.881,0.95359,0.50428,0.36829,0.38051,0.22604,1.21082,0.86057,0.92736,0.000125064,0.000125064,0.000125064
4,144.468,1.23966,0.86391,0.92934,0.48713,0.36865,0.37269,0.22293,1.20034,0.86871,0.92353,0.000113055,0.000113055,0.000113055
5,150.311,1.20723,0.84588,0.93339,0.49846,0.37374,0.37799,0.22588,1.19371,0.85693,0.92284,7.27709e-05,7.27709e-05,7.27709e-05
