epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.27266,1.20393,0.87715,0.91893,0.51032,0.38642,0.3958,0.23575,1.19251,0.83386,0.92373,1.428e-05,1.428e-05,1.428e-05
2,131.5,1.25468,0.9024,0.93397,0.50812,0.38745,0.3954,0.2357,1.19412,0.8313,0.92241,2.86314e-05,2.86314e-05,2.86314e-05
3,135.968,1.25437,0.83923,0.94668,0.50385,0.38184,0.39149,0.233,1.202,0.83464,0.92283,3.45005e-05,3.45005e-05,3.45005e-05
4,140.517,1.28555,0.8524,0.93435,0.51011,0.38046,0.39215,0.23365,1.2024,0.83729,0.923,3.18872e-05,3.18872e-05,3.18872e-05
5,144.855,1.29029,0.86578,0.93377,0.5161,0.37966,0.39244,0.23444,1.20149,0.83841,0.92337,2.07917e-05,2.07917e-05,2.07917e-05
