epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.06717,1.19252,0.85021,0.91211,0.50579,0.38302,0.39479,0.23562,1.19217,0.83137,0.92108,1.428e-05,1.428e-05,1.428e-05
2,131.413,1.20459,0.83636,0.91818,0.51087,0.38227,0.39541,0.23559,1.19105,0.83377,0.92079,2.86314e-05,2.86314e-05,2.86314e-05
3,135.904,1.2208,0.81155,0.93461,0.51599,0.37903,0.39484,0.23528,1.19041,0.83668,0.92037,3.45005e-05,3.45005e-05,3.45005e-05
4,140.209,1.27802,0.84325,0.9319,0.51777,0.37706,0.39277,0.23453,1.19504,0.84173,0.92158,3.18872e-05,3.18872e-05,3.18872e-05
5,144.542,1.27817,0.84631,0.92965,0.51724,0.3766,0.39034,0.23335,1.19844,0.84462,0.92259,2.07917e-05,2.07917e-05,2.07917e-05
