epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.593,1.29637,0.94062,0.92238,0.50554,0.3849,0.39177,0.23373,1.18471,0.84517,0.92063,6.426e-05,6.426e-05,6.426e-05
2,137.515,1.27729,0.89927,0.92311,0.50357,0.3706,0.37919,0.22512,1.22194,0.8632,0.92627,0.000108799,0.000108799,0.000108799
3,143.362,1.23162,0.85289,0.92473,0.50524,0.37197,0.38043,0.22663,1.20924,0.85778,0.9247,0.000125064,0.000125064,0.000125064
4,149.099,1.19305,0.8228,0.91585,0.48991,0.37263,0.37596,0.22209,1.21479,0.86962,0.92625,0.000113055,0.000113055,0.000113055
5,154.944,1.25465,0.83748,0.92337,0.48812,0.37214,0.37604,0.22101,1.22632,0.86062,0.92852,7.27709e-05,7.27709e-05,7.27709e-05
