epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.33656,1.25231,0.93866,0.92877,0.50516,0.38671,0.39533,0.23575,1.19493,0.83537,0.92554,1.428e-05,1.428e-05,1.428e-05
2,130.907,1.25927,0.90891,0.93594,0.50096,0.38505,0.39499,0.23527,1.19293,0.83141,0.9222,2.86314e-05,2.86314e-05,2.86314e-05
3,135.836,1.25806,0.84953,0.94751,0.49846,0.37709,0.39065,0.23179,1.202,0.83646,0.92326,3.45005e-05,3.45005e-05,3.45005e-05
4,140.546,1.29725,0.86812,0.93713,0.50487,0.37922,0.39242,0.23339,1.2043,0.83591,0.92345,3.18872e-05,3.18872e-05,3.18872e-05
5,145.693,1.29432,0.87193,0.93443,0.51581,0.37946,0.39306,0.23428,1.20463,0.83644,0.92358,2.07917e-05,2.07917e-05,2.07917e-05
