epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.47666,1.3387,0.99802,0.95433,0.49382,0.3712,0.37962,0.22418,1.20809,0.85524,0.92651,6.426e-05,6.426e-05,6.426e-05
2,133.536,1.28827,0.95388,0.93332,0.47668,0.38004,0.37939,0.22414,1.20233,0.85727,0.92629,0.000108799,0.000108799,0.000108799
3,139.677,1.31676,0.95349,0.93743,0.49066,0.36984,0.37641,0.22314,1.19697,0.86214,0.92509,0.000125064,0.000125064,0.000125064
4,145.916,1.31302,0.92505,0.93536,0.48799,0.36624,0.37196,0.22162,1.20208,0.85936,0.92631,0.000113055,0.000113055,0.000113055
5,152.007,1.2742,0.90664,0.92694,0.46553,0.36948,0.36718,0.2186,1.20825,0.86246,0.92738,7.27709e-05,7.27709e-05,7.27709e-05
