epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.44401,1.15338,0.81307,0.90432,0.50185,0.38179,0.39047,0.2329,1.18869,0.83718,0.92138,1.428e-05,1.428e-05,1.428e-05
2,129.625,1.15416,0.77924,0.9069,0.50693,0.37873,0.39006,0.23151,1.19198,0.84097,0.9225,2.86314e-05,2.86314e-05,2.86314e-05
3,134.106,1.20306,0.78103,0.93056,0.50782,0.37875,0.38985,0.2327,1.19011,0.84139,0.92115,3.45005e-05,3.45005e-05,3.45005e-05
4,138.449,1.26076,0.82105,0.92861,0.50522,0.37735,0.38828,0.23157,1.19545,0.8464,0.92247,3.18872e-05,3.18872e-05,3.18872e-05
5,142.794,1.26222,0.83378,0.92459,0.50721,0.37479,0.38683,0.23045,1.19943,0.84889,0.92303,2.07917e-05,2.07917e-05,2.07917e-05
