epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.29515,1.34498,1.03181,0.94838,0.51463,0.39232,0.40123,0.24101,1.16999,0.81864,0.91553,1.428e-05,1.428e-05,1.428e-05
2,10.1789,1.39925,1.14371,0.97504,0.52436,0.38481,0.39948,0.23946,1.17517,0.82359,0.91701,2.86314e-05,2.86314e-05,2.86314e-05
3,14.8655,1.32295,0.9537,0.96852,0.51108,0.38627,0.39586,0.237,1.18394,0.82745,0.91949,3.45005e-05,3.45005e-05,3.45005e-05
4,19.6853,1.34034,0.94285,0.9487,0.51087,0.38405,0.39451,0.23536,1.19539,0.82884,0.92154,3.18872e-05,3.18872e-05,3.18872e-05
5,24.6498,1.33959,0.9338,0.94477,0.51177,0.38659,0.39514,0.23515,1.19855,0.83173,0.92202,2.07917e-05,2.07917e-05,2.07917e-05
