epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.89278,1.37051,0.9778,0.95043,0.50545,0.37886,0.39095,0.23262,1.18497,0.84477,0.92074,6.426e-05,6.426e-05,6.426e-05
2,138.542,1.35203,0.954,0.9391,0.48891,0.38204,0.37905,0.22633,1.18753,0.8543,0.9235,0.000108799,0.000108799,0.000108799
3,144.728,1.3368,0.94198,0.94816,0.50777,0.37015,0.38256,0.2267,1.19859,0.8591,0.92512,0.000125064,0.000125064,0.000125064
4,150.641,1.28992,0.89907,0.94069,0.50132,0.37015,0.37809,0.22325,1.19865,0.85785,0.92319,0.000113055,0.000113055,0.000113055
5,156.485,1.28965,0.87586,0.93381,0.50999,0.36884,0.37921,0.2257,1.18607,0.84855,0.92225,7.27709e-05,7.27709e-05,7.27709e-05
