epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.39501,1.19954,0.87604,0.91313,0.50458,0.37619,0.38566,0.22881,1.19159,0.84403,0.9231,1.428e-05,1.428e-05,1.428e-05
2,131.756,1.22983,0.8729,0.92411,0.50702,0.37811,0.38658,0.22975,1.19415,0.84302,0.92395,2.86314e-05,2.86314e-05,2.86314e-05
3,136.477,1.24093,0.82947,0.94149,0.4986,0.38116,0.3889,0.23147,1.19293,0.83763,0.92222,3.45005e-05,3.45005e-05,3.45005e-05
4,140.916,1.27767,0.84627,0.9337,0.506,0.37771,0.38784,0.23113,1.20046,0.84063,0.92398,3.18872e-05,3.18872e-05,3.18872e-05
5,145.207,1.27091,0.84953,0.92737,0.51019,0.37422,0.38733,0.23049,1.20285,0.84291,0.92451,2.07917e-05,2.07917e-05,2.07917e-05
