epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.45467,1.40841,0.98002,0.96492,0.50573,0.37809,0.38614,0.22737,1.21817,0.84571,0.92587,6.426e-05,6.426e-05,6.426e-05
2,133.487,1.33399,0.91744,0.95885,0.49256,0.37759,0.37957,0.2286,1.18761,0.85277,0.92261,0.000108799,0.000108799,0.000108799
3,139.786,1.3233,0.92853,0.96964,0.49612,0.37979,0.3803,0.22715,1.20449,0.85615,0.92615,0.000125064,0.000125064,0.000125064
4,145.956,1.29196,0.88061,0.95806,0.49113,0.38106,0.38084,0.22541,1.20864,0.85855,0.92526,0.000113055,0.000113055,0.000113055
5,152.089,1.31392,0.86827,0.96028,0.49305,0.38222,0.38324,0.22803,1.19648,0.8459,0.92397,7.27709e-05,7.27709e-05,7.27709e-05
