epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.01018,1.36384,1.01092,0.93604,0.50919,0.37765,0.39038,0.23162,1.18817,0.84173,0.92064,6.426e-05,6.426e-05,6.426e-05
2,132.734,1.35132,0.9391,0.9211,0.49288,0.37703,0.37927,0.22355,1.21093,0.85471,0.92419,0.000108799,0.000108799,0.000108799
3,138.667,1.29066,0.93013,0.93689,0.49523,0.36988,0.37588,0.2248,1.1953,0.8641,0.92501,0.000125064,0.000125064,0.000125064
4,144.474,1.29725,0.90099,0.93506,0.49871,0.36659,0.37409,0.22379,1.20441,0.85526,0.92765,0.000113055,0.000113055,0.000113055
5,150.262,1.24588,0.86372,0.92498,0.49506,0.3737,0.37726,0.22476,1.19983,0.84779,0.92555,7.27709e-05,7.27709e-05,7.27709e-05
