epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.10531,1.36343,1.01398,0.95334,0.51522,0.37522,0.39203,0.23459,1.18983,0.83838,0.92161,6.426e-05,6.426e-05,6.426e-05
2,132.777,1.29227,0.93513,0.92415,0.49556,0.378,0.38653,0.23046,1.19802,0.84893,0.92302,0.000108799,0.000108799,0.000108799
3,138.761,1.29795,0.91226,0.94223,0.50524,0.37116,0.38114,0.22762,1.19839,0.85811,0.92357,0.000125064,0.000125064,0.000125064
4,144.602,1.27311,0.88562,0.9212,0.4831,0.37294,0.3748,0.22383,1.19523,0.8608,0.92184,0.000113055,0.000113055,0.000113055
5,150.444,1.22309,0.85565,0.9143,0.48488,0.37261,0.37511,0.22207,1.20842,0.86189,0.92503,7.27709e-05,7.27709e-05,7.27709e-05
