epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.23873,1.22201,0.89768,0.92241,0.50845,0.38631,0.39585,0.23619,1.19263,0.83366,0.924,1.428e-05,1.428e-05,1.428e-05
2,130.68,1.25621,0.90632,0.93466,0.50577,0.3854,0.39543,0.23575,1.19572,0.83079,0.92266,2.86314e-05,2.86314e-05,2.86314e-05
3,135.234,1.25613,0.84362,0.94659,0.50201,0.38366,0.39147,0.23286,1.20324,0.83473,0.92298,3.45005e-05,3.45005e-05,3.45005e-05
4,139.634,1.28671,0.85937,0.93401,0.51616,0.37887,0.39277,0.23411,1.20333,0.83594,0.9231,3.18872e-05,3.18872e-05,3.18872e-05
5,144.127,1.28825,0.87073,0.93303,0.51255,0.38166,0.39306,0.23479,1.20275,0.83665,0.92334,2.07917e-05,2.07917e-05,2.07917e-05
