epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.87286,1.23514,0.91604,0.92489,0.50537,0.38648,0.39598,0.23614,1.19211,0.8334,0.92429,1.428e-05,1.428e-05,1.428e-05
2,132.374,1.25742,0.90617,0.93551,0.50464,0.38546,0.39558,0.23587,1.19322,0.83005,0.922,2.86314e-05,2.86314e-05,2.86314e-05
3,137.067,1.25646,0.84684,0.94661,0.49445,0.38272,0.3919,0.23247,1.20185,0.83498,0.92298,3.45005e-05,3.45005e-05,3.45005e-05
4,142.369,1.29221,0.86287,0.93565,0.51072,0.3795,0.39264,0.23353,1.20289,0.83553,0.9229,3.18872e-05,3.18872e-05,3.18872e-05
5,147.379,1.29201,0.87113,0.93457,0.51667,0.37965,0.39269,0.23445,1.20323,0.83718,0.92349,2.07917e-05,2.07917e-05,2.07917e-05
