epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.93952,1.17022,0.87021,0.90817,0.50796,0.37687,0.38667,0.23094,1.19477,0.85545,0.92437,1.428e-05,1.428e-05,1.428e-05
2,133.146,1.16614,0.80816,0.90948,0.49986,0.37919,0.38894,0.23256,1.18335,0.84277,0.92051,2.86314e-05,2.86314e-05,2.86314e-05
3,137.671,1.20257,0.78758,0.93073,0.50422,0.37786,0.38865,0.23175,1.19033,0.84108,0.92055,3.45005e-05,3.45005e-05,3.45005e-05
4,142.023,1.27142,0.8273,0.93109,0.51164,0.37512,0.3883,0.23123,1.19861,0.84321,0.92211,3.18872e-05,3.18872e-05,3.18872e-05
5,146.397,1.26555,0.83743,0.92639,0.50684,0.37542,0.38662,0.23033,1.2031,0.84647,0.92306,2.07917e-05,2.07917e-05,2.07917e-05
