epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4911,1.30954,0.97988,0.91103,0.52086,0.37624,0.39172,0.23284,1.18945,0.84616,0.92085,6.426e-05,6.426e-05,6.426e-05
2,146.352,1.27464,0.92129,0.91632,0.48703,0.37725,0.38199,0.22897,1.19023,0.8531,0.92177,0.000108799,0.000108799,0.000108799
3,152.184,1.24298,0.89457,0.93966,0.49271,0.37209,0.3802,0.22661,1.19536,0.85558,0.92352,0.000125064,0.000125064,0.000125064
4,157.88,1.2298,0.86383,0.91874,0.50144,0.37661,0.38347,0.22612,1.19539,0.84679,0.92481,0.000113055,0.000113055,0.000113055
5,163.778,1.26707,0.87398,0.92446,0.49137,0.37896,0.38316,0.22785,1.18915,0.84948,0.92125,7.27709e-05,7.27709e-05,7.27709e-05
