epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.64633,1.1343,0.80439,0.90051,0.49868,0.38206,0.38945,0.23266,1.18486,0.84305,0.92036,1.428e-05,1.428e-05,1.428e-05
2,132.044,1.1274,0.75806,0.90014,0.49989,0.38006,0.38879,0.23189,1.19109,0.84941,0.92215,2.86314e-05,2.86314e-05,2.86314e-05
3,137.978,1.20517,0.77829,0.93164,0.50398,0.37694,0.38879,0.23135,1.1965,0.84927,0.92208,3.45005e-05,3.45005e-05,3.45005e-05
4,142.417,1.26227,0.81624,0.93006,0.51189,0.3719,0.38685,0.23037,1.19982,0.85041,0.92312,3.18872e-05,3.18872e-05,3.18872e-05
5,146.724,1.25975,0.82933,0.92572,0.50943,0.37206,0.38523,0.22957,1.20175,0.85139,0.92328,2.07917e-05,2.07917e-05,2.07917e-05
