epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.81151,1.25855,0.91938,0.92846,0.51469,0.38234,0.39378,0.23513,1.18644,0.83648,0.92242,1.428e-05,1.428e-05,1.428e-05
2,130.421,1.287,0.94006,0.94307,0.51185,0.38569,0.39608,0.2361,1.18822,0.8283,0.92111,2.86314e-05,2.86314e-05,2.86314e-05
3,135.252,1.25247,0.85225,0.94413,0.51464,0.38179,0.3941,0.23446,1.19766,0.82955,0.9222,3.45005e-05,3.45005e-05,3.45005e-05
4,139.938,1.29301,0.86722,0.93664,0.51269,0.38065,0.39312,0.23379,1.20201,0.83277,0.92358,3.18872e-05,3.18872e-05,3.18872e-05
5,144.511,1.2974,0.87964,0.93875,0.52002,0.37824,0.39236,0.2338,1.20305,0.83511,0.92406,2.07917e-05,2.07917e-05,2.07917e-05
